date, name, size, price_per_unit, price, details_page, kosher, local, organic, peanut_free, lactose_free, vegan, vegetarian, sku
"2023-03-27", "Folgers Ground Coffee Mountain Roast 865 g", "865g", "($1.79 per 100g)", "$15.49", "https://voila.ca/products/975173EA/details", "False", "False", "False", "False", "False", "False", "False", "975173EA"
"2023-03-27", "Folgers Ground Coffee Black Silk 641 g", "641g", "($2.42 per 100g)", "$15.49", "https://voila.ca/products/975045EA/details", "False", "False", "False", "False", "False", "False", "False", "975045EA"
"2023-03-27", "Alameed Medium Coffee With Cardamom 226 g", "226g", "($2.87 per 100g)", "$6.49", "https://voila.ca/products/679037EA/details", "False", "False", "False", "False", "False", "False", "False", "679037EA"
"2023-03-27", "Folgers Ground Coffee Classic Decaf 544 g", "544g", "($2.85 per 100g)", "$15.49", "https://voila.ca/products/975039EA/details", "False", "False", "False", "False", "False", "False", "False", "975039EA"
"2023-03-27", "Alameed Dark Coffee With Cardamom 226 g", "226g", "($2.87 per 100g)", "$6.49", "https://voila.ca/products/812033EA/details", "False", "False", "False", "False", "False", "False", "False", "812033EA"
"2023-03-27", "Tim Hortons Ground Coffee Espresso Roast Dark 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/936109EA/details", "False", "False", "False", "False", "False", "False", "False", "936109EA"
"2023-03-27", "Folgers Ground Coffee 100% Colombian 272 g", "272g", "($3.23 per 100g)", "$8.79", "https://voila.ca/products/975042EA/details", "False", "False", "False", "False", "False", "False", "False", "975042EA"
"2023-03-27", "Folgers Ground Coffee Classic Roast 272 g", "272g", "($3.23 per 100g)", "$8.79", "https://voila.ca/products/975054EA/details", "False", "False", "False", "False", "False", "False", "False", "975054EA"
"2023-03-27", "McCafé Ground Coffee Rainforest Medium Dark Roast 950 g", "950g", "($2.42 per 100g)", "$22.99", "https://voila.ca/products/505970EA/details", "True", "False", "False", "False", "False", "False", "False", "505970EA"
"2023-03-27", "McCafé Ground Coffee Premium Medium Roast 340 g", "340g", "($3.53 per 100g)", "$11.99", "https://voila.ca/products/505975EA/details", "True", "False", "False", "False", "False", "False", "False", "505975EA"
"2023-03-27", "McCafé Decaffeinated Ground Coffee Premium Roast 340 g", "340g", "($3.53 per 100g)", "$11.99", "https://voila.ca/products/505976EA/details", "False", "False", "False", "False", "False", "False", "False", "505976EA"
"2023-03-27", "Starbucks Espresso Roast Ground Coffee Dark Roast 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/716917EA/details", "False", "False", "False", "False", "False", "False", "False", "716917EA"
"2023-03-27", "Starbucks Ground Coffee Italian Roast Dark 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/413372EA/details", "False", "False", "False", "False", "False", "False", "False", "413372EA"
"2023-03-27", "Georgian Bay Coffee Grind Coffee Medium Roast 340 g", "340g", "($4.11 per 100g)", "$13.99", "https://voila.ca/products/973333EA/details", "False", "False", "False", "False", "False", "False", "False", "973333EA"
"2023-03-27", "Georgian Bay Coffee Blend Coffee Blue Mountain 340 g", "340g", "($4.11 per 100g)", "$13.99", "https://voila.ca/products/973350EA/details", "False", "False", "False", "False", "False", "False", "False", "973350EA"
"2023-03-27", "Georgian Bay Coffee Grind Coffee Dark Roast 340 g", "340g", "($4.11 per 100g)", "$13.99", "https://voila.ca/products/973345EA/details", "False", "False", "False", "False", "False", "False", "False", "973345EA"
"2023-03-27", "Georgian Bay Coffee Ground Coffee Hint Of Maple 340 g", "340g", "($4.11 per 100g)", "$13.99", "https://voila.ca/products/973347EA/details", "False", "False", "False", "False", "False", "False", "False", "973347EA"
"2023-03-27", "Starbucks Ground Coffee Winter Blend 283 g", "283g", "($3.88 per 100g)", "$10.99", "https://voila.ca/products/421101EA/details", "False", "False", "False", "False", "False", "False", "False", "421101EA"
"2023-03-27", "Folgers Ground Coffee Blonde Silk 641 g", "641g", "($2.42 per 100g)", "$15.49", "https://voila.ca/products/974494EA/details", "False", "False", "False", "False", "False", "False", "False", "974494EA"
"2023-03-27", "Starbucks Decaf House Blend Coffee 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/341633EA/details", "False", "False", "False", "False", "False", "False", "False", "341633EA"
"2023-03-27", "Alameed Medium Coffee No Cardamom 226 g", "226g", "($2.87 per 100g)", "$6.49", "https://voila.ca/products/812034EA/details", "False", "False", "False", "False", "False", "False", "False", "812034EA"
"2023-03-27", "Compliments Coffee Blend Bold Dark 875 g", "875g", "($1.83 per 100g)", "$15.99", "https://voila.ca/products/589811EA/details", "False", "False", "False", "False", "False", "False", "False", "589811EA"
"2023-03-27", "Compliments Ground Coffee Breakfast Blend 930 g", "930g", "($1.72 per 100g)", "$15.99", "https://voila.ca/products/589683EA/details", "True", "False", "False", "False", "False", "False", "False", "589683EA"
"2023-03-27", "Compliments Ground Coffee Breakfast Blend 300 g", "300g", "($2.66 per 100g)", "$7.99", "https://voila.ca/products/589887EA/details", "True", "False", "False", "False", "False", "False", "False", "589887EA"
"2023-03-27", "Compliments Ground Coffee Winter Blend 300 g", "300g", "($2.33 per 100g)", "$6.99", "https://voila.ca/products/803558EA/details", "False", "False", "False", "False", "False", "False", "False", "803558EA"
"2023-03-27", "Compliments Coffee Bold Blend 300 g", "300g", "($2.66 per 100g)", "$7.99", "https://voila.ca/products/589851EA/details", "True", "False", "False", "False", "False", "False", "False", "589851EA"
